,hhid,hhwgt,urban,inc_employ,inc_commerce,inc_subsist,inc_remit,inc_transfer,inc_gift,inc_rent,inc_total,food_cons,total_cons,poor_nat,poor_190,poor_320,poor_550,dep_water,dep_san,dep_ele,dep_enroll,dep_attain,hhsize,number_of_children,pcexp,pcinc,ispoor,hoh_mainactivity,hoh_education,hhinc_mainsource_all,hhinc_mainsource_wage_other,inc_nonwage,pcwgt,pov_line
20,00-30-64-80,111.44306182861328,0,15611.5302734375,1155.2010498046875,0.0,0.0,122.37300109863281,381.8037414550781,1756.1888427734375,19027.09765625,2691.503662109375,7561.9755859375,0,0,0,1,0,0,0,0,0,4,1,1890.493896484375,4756.7744140625,0,Wage employment,Primary completion and below,inc_employ,inc_employ,3415.566635131836,445.7722473144531,2179
21,00-31-09-87,64.52751922607422,1,0.0,4829.26318359375,0.0,0.0,0.0,328.0760192871094,0.0,5157.3388671875,1319.8907470703125,2936.244140625,1,0,0,1,0,0,0,0,1,2,0,1468.1220703125,2578.66943359375,0,Self employment/subsistence,Primary completion and below,inc_commerce,other,5157.339202880859,129.05503845214844,2179
22,00-32-32-25,129.20748901367188,0,3849.45751953125,154.25302124023438,174.3729705810547,1609.5966796875,138.8277130126953,1551.91943359375,3910.912353515625,11389.3388671875,2163.968505859375,9365.41796875,0,0,0,0,0,0,0,0,0,4,1,2341.3544921875,2847.334716796875,0,Wage employment,At least some secondary completion,inc_rent,other,7539.882171630859,516.8299560546875,2179
23,00-33-34-41,144.74510192871094,0,10424.251953125,0.0,41.69700622558594,0.0,801.865478515625,0.0,646.8953247070312,11914.7099609375,883.142578125,2408.159912109375,1,0,1,1,0,0,0,0,0,3,0,802.719970703125,3971.5699869791665,0,Wage employment,Primary completion and below,inc_employ,inc_employ,1490.4578094482422,434.2353057861328,2179
24,00-34-78-99,157.6836395263672,1,4843.9462890625,0.0,514.1757202148438,0.0,20222.134765625,329.07244873046875,2585.560791015625,28494.890625,7176.8134765625,15587.5849609375,0,0,0,1,0,0,0,0,0,9,6,1731.953884548611,3166.0989583333335,0,Self employment/subsistence,At least some secondary completion,inc_transfer,other,23650.943725585938,1419.1527557373047,2179
25,00-36-55-23,143.3070526123047,0,7884.2216796875,0.0,60.96047592163086,0.0,279.01141357421875,0.0,1019.4012451171875,9243.5947265625,3756.413330078125,7628.34326171875,0,0,0,1,0,0,0,0,0,5,3,1525.66865234375,1848.7189453125,1,Wage employment,Post-secondary/tertiary and above,inc_employ,inc_employ,1359.373134613037,716.5352630615234,2179
26,00-36-94-25,119.71360778808594,1,7402.4453125,4109.91796875,0.0,0.0,421.7066955566406,0.0,885.5927124023438,12819.6630859375,1859.36669921875,8527.357421875,0,0,0,0,1,0,0,0,0,4,1,2131.83935546875,3204.915771484375,0,Self employment/subsistence,At least some secondary completion,inc_employ,inc_employ,5417.217376708984,478.85443115234375,2179
27,00-40-44-34,269.65179443359375,1,27193.5859375,0.0,3763.481201171875,0.0,1206.515380859375,0.0,3020.460205078125,35184.04296875,12732.0732421875,21343.9453125,0,0,0,0,0,0,0,0,0,10,7,2134.39453125,3518.404296875,0,Not working,At least some secondary completion,inc_employ,inc_employ,7990.456787109375,2696.5179443359375,2179
28,00-41-05-52,50.889469146728516,1,10431.0791015625,0.0,0.0,0.0,0.0,1542.79541015625,1514.6087646484375,13488.4833984375,1983.0152587890625,5527.6044921875,0,0,0,0,0,0,1,0,1,1,0,5527.6044921875,13488.4833984375,0,Wage employment,Primary completion and below,inc_employ,inc_employ,3057.4041748046875,50.889469146728516,2179
29,00-42-62-19,254.93109130859375,1,34955.078125,0.0,0.0,0.0,779.920166015625,0.0,0.0,35734.99609375,4158.73828125,14253.875,0,0,0,0,0,0,0,0,0,7,3,2036.267857142857,5104.999441964285,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,779.920166015625,1784.5176391601562,2179
30,00-43-11-64,182.37672424316406,1,12147.99609375,0.0,1771.5826416015625,0.0,1195.3316650390625,20.246658325195312,3429.32666015625,18564.484375,3305.85791015625,7813.126953125,0,0,0,1,0,0,0,0,1,5,3,1562.625390625,3712.896875,0,Wage employment,Primary completion and below,inc_employ,inc_employ,6416.48762512207,911.8836212158203,2179
31,00-43-52-28,32.48192596435547,0,15417.8125,0.0,737.072021484375,0.0,2001.1004638671875,1352.743896484375,2284.64013671875,21793.369140625,1638.99755859375,5107.052734375,0,0,0,0,0,0,0,0,0,1,0,5107.052734375,21793.369140625,0,Wage employment,Post-secondary/tertiary and above,inc_employ,inc_employ,6375.5565185546875,32.48192596435547,2179
32,00-44-72-27,101.55032348632812,1,5202.80810546875,0.0,198.8165283203125,0.0,2650.88720703125,0.0,1673.5283203125,9726.0400390625,2541.97998046875,6010.84814453125,0,0,0,1,0,0,0,0,1,3,0,2003.6160481770833,3242.0133463541665,0,Not working,Primary completion and below,inc_employ,inc_employ,4523.2320556640625,304.6509704589844,2179
33,00-47-97-06,206.4756317138672,0,7197.39990234375,0.0,0.0,3751.413818359375,733.0888061523438,0.0,1401.50244140625,13083.404296875,1862.447021484375,5402.7626953125,1,1,1,1,0,0,0,0,0,8,4,675.3453369140625,1635.425537109375,1,Wage employment,Post-secondary/tertiary and above,inc_employ,inc_employ,5886.005065917969,1651.8050537109375,2179
34,00-51-56-88,204.56138610839844,1,10421.396484375,40334.984375,2186.2275390625,1877.768310546875,1275.2269287109375,673.765869140625,3360.786376953125,60130.15625,13291.1318359375,24091.7421875,0,0,0,0,0,0,0,0,0,5,4,4818.3484375,12026.03125,0,Wage employment,Post-secondary/tertiary and above,inc_commerce,other,49708.75939941406,1022.8069305419922,2179
35,00-56-61-08,128.85227966308594,0,0.0,0.0,230.0940399169922,88.49771118164062,3706.2841796875,0.0,1074.2584228515625,5099.13427734375,1644.02197265625,3090.65380859375,1,0,1,1,0,0,0,0,1,4,2,772.6634521484375,1274.7835693359375,1,Not working,Primary completion and below,inc_transfer,other,5099.134353637695,515.4091186523438,2179
36,00-56-68-34,206.82606506347656,1,12696.2451171875,0.0,681.6776123046875,0.0,1326.485595703125,970.3255004882812,703.2957763671875,16378.0302734375,3766.48193359375,12808.4794921875,0,0,0,1,0,0,0,0,0,7,4,1829.7827845982142,2339.7186104910716,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,3681.7844848632812,1447.782455444336,2179
37,00-58-14-35,152.755615234375,0,18413.396484375,0.0,0.0,0.0,1048.0382080078125,0.0,0.0,19461.435546875,2019.3861083984375,7846.67578125,0,0,0,1,0,0,0,0,0,4,2,1961.6689453125,4865.35888671875,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,1048.0382080078125,611.0224609375,2179
38,00-59-97-81,450.55224609375,1,8478.1591796875,0.0,0.0,0.0,3259.199951171875,0.0,1503.579833984375,13240.9384765625,2199.4462890625,8064.71923828125,1,0,1,1,0,0,0,0,0,10,6,806.471923828125,1324.09384765625,1,Not working,Primary completion and below,inc_employ,inc_employ,4762.77978515625,4505.5224609375,2179
39,00-60-63-89,100.75911712646484,0,8880.1748046875,0.0,985.3670654296875,0.0,0.0,356.15673828125,586.9254150390625,10808.625,2922.85986328125,4580.91650390625,1,0,0,1,0,0,0,0,0,3,0,1526.97216796875,3602.875,0,Not working,Primary completion and below,inc_employ,inc_employ,1928.44921875,302.27735137939453,2179
